source_id,total_tokens,count
Boletines_Oficiales/BOE,8200717524,1762024
Boletines_Oficiales/BOJA,3412725472,654488
Boletines_Oficiales/BOCYL,2359477219,481830
Boletines_Oficiales/BORM,1836825316,419702
Boletines_Oficiales/BOCANT,1025561068,314398
Boletines_Oficiales/BOC,785512717,147709
Registro_Mercantil_Borme,465687027,46021
NORMA,270311480,44715
Licitaciones_2025-07-03,994457488,12646
Boletines_Oficiales/BOCCE,139088945,3980
BODEFENSA,331315518,3707
Ministerio_Economia_BOICAC,307360049,1988
Biblioteca_Juridica,385050195,1117
Codigo_Tecnico_Edificacion,15903128,276
Ministerio_Vivienda_Agenda_Urbana,13201281,267
Departamento_Seguridad_Nacional,4830335,115
Agen_Urb_Esp,2357958,51
total,20550382720,3895034
