Dataset,Date,Domain,Tokens,Size (MB),RAM Size (MB)
MESINESP_2,1/10/2025,biomedical,130410547,168.03,492.12
Guia_Salud,10/06/2025,biomedical,4099910,3.9,13.49
SER,13/06/2025,biomedical,1286099,1.04,3.86
SANGVA,17/06/2025,biomedical,511797,0.58,1.65
Multi_Clin_Sum,2/10/2025,biomedical,39904593,47.82,138.22
Prod_Cient_AETSA,22/01/2026,biomedical,18052827,15.81,57.16
CIMA_AEMPS,22/01/2026,biomedical,407621044,192.44,1313.65
SPA_Junta_De_Andalucia,22/01/2026,biomedical,1812064,1.59,5.83
AEPED,22/09/2025,biomedical,1956097,1.91,6.32
Ministerio_Sanidad_Medic_Trans,26/05/2025,biomedical,1101769,0.96,3.63
RECCMI,26/06/2025,biomedical,1836166,2.13,5.91
CARMEN_I,26/09/2025,biomedical,808489,0.93,2.58
SECOMCYC,27/06/2025,biomedical,445187,0.51,1.49
Translated_Pubmed,29/09/2025,biomedical,3774392791,5591.62,14969.01
BARR_2,29/09/2025,biomedical,2112831,2.79,7.29
Miscelanea_Roberta,29/09/2025,biomedical,2022634841,2100.83,6211.75
Tox_Habits,3/10/2025,biomedical,1169368,1.57,3.99
Wikipedia_Biomedical,30/09/2025,biomedical,81070463,114.68,291.31
MedlinePlus,5/09/2025,biomedical,13871047,11.79,44.32
Ministerio_Sanidad_Estrategias,7/10/2025,biomedical,9033087,8.23,30.0
Mineralogia_Topologia_Iberica_Acopios,10/02/2026,heritage,686656,0.68,2.07
Revista_AusArt,10/02/2026,heritage,1122929,1.76,4.51
Libros_Instituto_Geografico_Nacional,10/02/2026,heritage,14506146,15.8,47.31
Revista_Cuadernos_De_Historia_Contemporanea,10/02/2026,heritage,8331685,12.41,32.19
Revista_Aragon_En_La_Edad_Media,10/02/2026,heritage,2809119,3.45,9.24
Revista_Otarq,10/02/2026,heritage,798712,1.05,2.81
Wikipedia_Cultura_España,10/02/2026,heritage,112853710,161.87,392.12
Revista_Investigaciones_De_Historia_Economica,10/02/2026,heritage,8733599,11.36,30.99
Revista_Brumal,10/02/2026,heritage,3867597,5.71,14.21
Revistas_Cultura_Jaume_I,10/02/2026,heritage,14706373,20.35,55.95
Revista_Ad_Limina,10/02/2026,heritage,2245814,3.03,7.89
Ministerio_De_Cultura_Patrimonio_Audiovisual_Cine_Español,10/02/2026,heritage,148827,0.46,2.25
Revista_Cauriensia,10/02/2026,heritage,4819708,6.84,17.74
